max_depth,리프_개수,학습_MAE,테스트_MAE,학습_RMSE,테스트_RMSE,학습_R2,테스트_R2
2,4,3853.812655737523,3869.3423117384905,6261.376026703416,6286.402293065133,0.9238622693431352,0.9234508675900668
4,16,3336.5057845346555,3355.4281150303686,5611.8034750541465,5634.565399391016,0.9388403117090891,0.9385025962901516
6,51,3034.5187461236405,3070.243309400557,5312.941036432692,5372.593186010232,0.9451810960295678,0.9440881519788438
8,105,2846.640700591313,2872.717896744217,4988.946289777446,5040.431804426772,0.9516631869759986,0.9507879541926526
12,256,2566.457879070792,2605.5533107150045,4569.435337909758,4639.149212694913,0.95945050704734,0.9583118506815254
제한없음,358,2500.7563646225735,2539.4413336611974,4478.918721539262,4542.264664776667,0.9610410970671477,0.9600349091518267
