min_samples_leaf,리프_개수,학습_MAE,테스트_MAE,학습_RMSE,테스트_RMSE,학습_R2,테스트_R2
500,358,2500.7563646225735,2539.4413336611974,4478.918721539262,4542.264664776667,0.9610410970671477,0.9600349091518267
200,907,2296.427382919308,2341.1156022949467,4174.176836634727,4246.336923854374,0.9661622058964461,0.9650727145688844
100,1798,2056.1840455129786,2116.5242503661925,3802.4491044025785,3913.8288007721067,0.9719206419015115,0.9703284944907931
50,3616,1797.5844497195294,1870.476952716671,3440.642755242596,3562.7735082078007,0.9770099709734101,0.9754126138577529
20,8574,1308.7792311147605,1426.8793260077491,2786.1504728961377,3017.0470767747656,0.9849245775246493,0.982368059701193
